n_item,image_name,Row acc,Col acc,Row STP,Col STP,Table STP
1.0,IM-000000011378751-AP1.png,0.0,0.14,0.0,0.14,0.0
2.0,IM-000000011378755-AP1.png,0.0,0.14,0.0,0.14,0.0
3.0,IM-000000011378791-AP1.png,0.0,0.32,0.0,0.8,0.0
4.0,IM-000000011378765-AP1.png,0.09,0.52,0.25,1.0,0.25
5.0,IM-000000011378769-AP1.png,0.08,0.59,0.0,0.86,0.0
6.0,IM-000000011378787-AP1.png,0.08,0.59,0.0,0.0,0.0
7.0,IM-000000011378776-AP1.png,0.06,0.65,0.0,1.0,0.0
8.0,IM-000000011378782-AP1.png,0.1,0.69,0.25,1.0,0.25
9.0,IM-000000011378779-AP1.png,0.08,0.73,0.0,1.0,0.0
10.0,IM-000000011378784-AP1.png,0.07,0.76,0.0,1.0,0.0
11.0,IM-000000011378748-AP1.png,0.06,0.78,0.0,1.0,0.0
12.0,IM-000000011378764-AP1.png,0.06,0.72,0.0,0.14,0.0
13.0,IM-000000011378803-AP1.png,0.04,0.74,0.0,1.0,0.0
14.0,IM-000000011378777-AP1.png,0.06,0.76,0.17,1.0,0.17
15.0,IM-000000011378804-AP1.png,0.06,0.76,0.0,0.0,0.0
16.0,IM-000000011378754-AP1.png,0.07,0.77,0.33,0.86,0.28
17.0,IM-000000011378794-AP1.png,0.07,0.78,0.0,1.0,0.0
18.0,IM-000000011378771-AP1.png,0.07,0.74,0.0,0.14,0.0
19.0,IM-000000011378788-AP1.png,0.07,0.74,0.0,0.0,0.0
20.0,IM-000000011378756-AP1.png,0.08,0.75,0.5,1.0,0.5
21.0,IM-000000011378802-AP1.png,0.06,0.76,0.0,1.0,0.0
22.0,IM-000000011378780-AP1.png,0.06,0.78,0.0,1.0,0.0
23.0,IM-000000011378763-AP1.png,0.06,0.78,0.0,0.86,0.0
24.0,IM-000000011378793-AP1.png,0.05,0.79,0.0,1.0,0.0
25.0,IM-000000011378758-AP1.png,0.05,0.76,0.0,0.14,0.0
26.0,IM-000000011378770-AP1.png,0.06,0.77,0.33,1.0,0.33
27.0,IM-000000011378792-AP1.png,0.06,0.77,0.0,0.8,0.0
,OVERALL,6.0,77.0,0.0,57.99999999999999,0.0
